Gender,Age,Income,Education,Relationship Status,Residence,Home,Q21,Q22,Q24,Q41_1,Q41_2,Q41_3,Q41_5,Q26,Driving Kids,Car Seat Cost,Exercise,Activities_1,Activities_2,Activities_3,Activities_4,Activities_5,Activities_6,Activities_7,Q33,Q34,Q28,Accidents,Q30,Q31,Q32,Q43,Q44,Q42_1,Q42_2,Q42_3,Q42_4,Q40_9,Q40_10,Q40_11,Q40_12,Q40,Q42,Q35,Q43,Q37,Q44,Q38,Q45,Q39,Q46,Q36
Female,25-40,"$50,000 -$99,999",Graduate degree and beyond,Single,Suburban,Single family home,1,< 10 lbs,Yes,26,20,,,No,Yes,$100 - $199,3-5,5 = Always,1 = Never,1 = Never,1 = Never,3,2,2,Yes,SUV or Cross-over,Yes,Yes,No,No,Yes,Yes,25.00,3,3,3,3,2,3,4,1,,,Yes,,,,,,,,150
Female,18-25,"< $50,000",4 year degree,In a relationship,Major City,Apartment,1,11-25 lbs,Yes,,10,10,,No,No,,3-5,5 = Always,1 = Never,1 = Never,5 = Always,5 = Always,2,2,No,Compact,Yes,Yes,No,No,No,Yes,10,5 = Most Influential,5 = Most Influential,5 = Most Influential,1 = Least Influential,3,4,2,1,,,Yes,,,,,,,,100
Male,41-56,"< $50,000",High school graduate,Married or Domestic Partnership,Suburban,Single family home,2,"41-70 lbs,71-90 lbs",Yes,,123,,,No,Yes,$100 - $199,1-2,3,1 = Never,1 = Never,1 = Never,2,1 = Never,2,No,Mini-van or van,No,Yes,No,No,No,No,,2,2,2,2,3,1,4,2,,,,,,No,,,,,50
Female,25-40,"< $50,000",Some college,Single,Suburban,Multi-family home,2,41-70 lbs,Yes,,25,,,No,No,,0,1 = Never,1 = Never,1 = Never,1 = Never,3,1 = Never,1 = Never,No,Truck,No,No,No,No,No,No,,3,3,5 = Most Influential,4,2,3,4,1,,,,,,,Yes,,,,$100.00
Female,18-25,"$100,000 - $149,999",Some college,Single,Rural,Multi-family home,1,11-25 lbs,No,197,417,,,No,No,,3-5,3,3,1 = Never,1 = Never,3,1 = Never,1 = Never,No,I do not drive with my dogs,Yes,No,No,No,No,Yes,0,2,5 = Most Influential,4,1 = Least Influential,2,4,3,1,Yes,,,,,,,,,,150
Female,25-40,"< $50,000",High school graduate,Single,Major City,Single family home,2,< 10 lbs,No,,201,,,No,No,,1-2,4,2,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,No,I do not drive with my dogs,Yes,No,No,No,No,Yes,0,4,4,4,4,,,,,,,No,,,,,,,,$50
Male,41-56,"$150,000 - $199,999",Graduate degree and beyond,Married or Domestic Partnership,Major City,Condominium,1,< 10 lbs,Yes,72,57,,37,No,No,,0,5 = Always,1 = Never,1 = Never,2,2,1 = Never,3,No,Sedan,Yes,Yes,No,No,No,No,,1 = Least Influential,1 = Least Influential,4,3,2,4,3,1,,,Yes,,,,,,,,100
Female,25-40,"< $50,000",4 year degree,Single,Rural,Single family home,1,< 10 lbs,No,0,7,0,10,No,No,,3-5,5 = Always,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,2,No,"SUV or Cross-over,Compact",Yes,No,No,No,No,Yes,0,4,4,5 = Most Influential,1 = Least Influential,2,4,3,1,,,,,,,,No,,,30
Male,41-56,"$100,000 - $149,999",4 year degree,Married or Domestic Partnership,Suburban,Single family home,1,26-40 lbs,No,,70,,13,No,Yes,$100 - $199,3-5,2,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,No,I do not drive with my dogs,No,Yes,No,No,No,No,,4,4,5 = Most Influential,2,1,4,2,3,,,,,,,,,Yes,,$200
Male,25-40,"$100,000 - $149,999",2 year degree,Married or Domestic Partnership,Suburban,Single family home,2,"11-25 lbs,26-40 lbs",No,,81,,,No,Yes,$100 - $199,1-2,2,1 = Never,1 = Never,2,2,1 = Never,2,No,"SUV or Cross-over,Truck",Yes,No,No,No,No,No,,4,3,5 = Most Influential,3,2,4,3,1,,,,,,,No,,,,30
Female,25-40,"$100,000 - $149,999",Graduate degree and beyond,Married or Domestic Partnership,Rural,Single family home,2,41-70 lbs,No,,95,,,No,Yes,$100 - $199,0,2,1 = Never,1 = Never,1 = Never,2,1 = Never,3,No,SUV or Cross-over,Yes,Yes,No,No,No,Yes,100,5 = Most Influential,2,4,3,2,4,3,1,,,,,Yes,,,,,,150
Male,25-40,"$50,000 -$99,999",4 year degree,Married or Domestic Partnership,Suburban,Single family home,2,41-70 lbs,No,,54,,20,No,Yes,$100 - $199,3-5,3,2,1 = Never,2,3,1 = Never,3,No,"SUV or Cross-over,Sedan",Yes,No,No,No,No,Yes,30,4,4,3,2,2,4,3,1,,,,,,,,,,No,75
Female,25-40,"$50,000 -$99,999",High school graduate,Married or Domestic Partnership,Major City,Single family home,1,11-25 lbs,No,0,30,0,22,No,Yes,$50 - $99,6-7,4,1 = Never,1 = Never,2,3,4,3,Yes,"SUV or Cross-over,Truck",No,Yes,No,No,No,Yes,20,4,3,3,3,1,3,4,2,,,,,No,,,,,,20
Female,18-25,"$50,000 -$99,999",Some college,In a relationship,Urban,Single family home,1,71-90 lbs,No,,41,,0,No,Yes,$100 - $199,3-5,2,1 = Never,1 = Never,2,1 = Never,1 = Never,1 = Never,No,Sedan,Yes,Yes,No,No,No,No,,1 = Least Influential,2,4,2,2,4,3,1,,,,,,,,Yes,,,300
Male,25-40,"$100,000 - $149,999",Some college,Married or Domestic Partnership,Suburban,Single family home,1,41-70 lbs,Yes,,50,,,No,Yes,$100 - $199,3-5,5 = Always,4,1 = Never,3,2,1 = Never,3,No,SUV or Cross-over,Yes,Yes,No,No,No,No,,3,4,3,3,3,4,2,1,,,,,,,,,Yes,,300
Female,18-25,"$50,000 -$99,999",High school graduate,Single,Urban,Single family home,3+,"< 10 lbs,11-25 lbs,26-40 lbs",Yes,,35,,51,No,No,,1-2,3,1 = Never,1 = Never,1 = Never,4,2,2,Yes,Mini-van or van,Yes,No,No,No,No,Yes,11,3,2,4,2,2,3,4,1,,,,,,,,No,,,100
Female,18-25,"$50,000 -$99,999",4 year degree,In a relationship,Urban,Single family home,1,11-25 lbs,No,,65,,,No,No,,6-7,5 = Always,5 = Always,1 = Never,2,2,1 = Never,1 = Never,No,Compact,Yes,No,No,No,No,No,,4,5 = Most Influential,5 = Most Influential,3,3,4,2,1,,No,,,,,,,,,50
Female,25-40,"$50,000 -$99,999",High school graduate,Married or Domestic Partnership,Urban,Single family home,1,71-90 lbs,No,68,157,28,47,No,Yes,$100 - $199,6-7,4,3,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,No,SUV or Cross-over,Yes,No,No,No,No,No,,4,4,5 = Most Influential,1 = Least Influential,4,3,2,1,,No,,,,,,,,,80
Female,41-56,"< $50,000",Some college,Single,Rural,Single family home,3+,"< 10 lbs,11-25 lbs,26-40 lbs,41-70 lbs",No,,120,,52,No,Yes,$50 - $99,1-2,2,1 = Never,1 = Never,1 = Never,2,2,2,No,Sedan,Yes,Yes,No,No,No,Yes,0,3,3,5 = Most Influential,1 = Least Influential,1,4,3,2,,,,,,,,,,No,$45
Female,18-25,"< $50,000",Some college,In a relationship,Rural,Apartment,2,91 - 120 lbs,No,,195,,95,No,Yes,$100 - $199,3-5,3,3,1 = Never,4,2,2,2,No,"Sedan,Truck,Convertible",No,No,No,No,No,No,,5 = Most Influential,4,5 = Most Influential,5 = Most Influential,2,4,3,1,,,,,Yes,,,,,,250
Female,18-25,"< $50,000",4 year degree,In a relationship,Rural,Multi-family home,1,41-70 lbs,No,,75,,,No,No,,3-5,3,2,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,No,Truck,Yes,Yes,No,No,No,Yes,0,4,2,3,1 = Least Influential,2,4,3,1,,,,,,,,,Yes,,200
Female,41-56,"< $50,000",2 year degree,Married or Domestic Partnership,Suburban,Single family home,1,11-25 lbs,Yes,,51,,59,No,Yes,$100 - $199,0,2,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,No,SUV or Cross-over,Yes,Yes,No,No,No,No,,3,3,5 = Most Influential,4,3,4,2,1,,,,,,,,,,Yes,125
Male,18-25,"< $50,000",High school graduate,Single,Rural,Single family home,1,11-25 lbs,No,,83,,41,No,No,,3-5,4,4,1 = Never,3,2,1 = Never,1 = Never,No,SUV or Cross-over,No,No,No,No,No,No,,5 = Most Influential,4,5 = Most Influential,1 = Least Influential,3,4,2,1,,,,,,Yes,,,,,200
Female,18-25,"$150,000 - $199,999",4 year degree,Single,Suburban,Single family home,3+,"11-25 lbs,26-40 lbs,41-70 lbs",No,,62,,60,No,No,,3-5,2,1 = Never,1 = Never,1 = Never,2,1 = Never,2,No,SUV or Cross-over,Yes,Yes,No,No,No,Yes,0,4,3,5 = Most Influential,3,2,4,3,1,,,,No,,,,,,,50
Female,18-25,"< $50,000",4 year degree,In a relationship,Urban,Multi-family home,2,< 10 lbs,No,,32,,,No,Yes,< $100,0,3,2,1 = Never,1 = Never,4,1 = Never,1 = Never,No,"Compact,Convertible",Yes,Yes,No,No,No,Yes,0,4,4,5 = Most Influential,4,1,3,4,2,,,,No,,,,,,,50
Male,41-56,"$150,000 - $199,999",4 year degree,In a relationship,Major City,Single family home,2,< 10 lbs,Yes,80,60,103,52,No,Yes,$100 - $199,1-2,3,1 = Never,1 = Never,3,2,1 = Never,1 = Never,No,Compact,Yes,No,No,No,Yes,No,,2,2,2,2,1,4,3,2,,,,,,Yes,,,,,200
Non-binary / third gender,25-40,"< $50,000",Graduate degree and beyond,Married or Domestic Partnership,Suburban,Single family home,2,11-25 lbs,No,0,39,35,41,No,Yes,$100 - $199,1-2,2,1 = Never,1 = Never,1 = Never,3,1 = Never,1 = Never,No,SUV or Cross-over,Yes,Yes,No,No,No,Yes,10,1 = Least Influential,5 = Most Influential,5 = Most Influential,1 = Least Influential,1,4,3,2,,,,,No,,,,,,$40
Female,18-25,"$150,000 - $199,999",Some college,Single,Suburban,Multi-family home,1,26-40 lbs,No,,169,,117,No,No,,1-2,3,2,1 = Never,4,3,2,3,No,Sedan,Yes,No,No,No,No,No,,3,3,4,2,3,4,2,1,,,,No,,,,,,,$50
Female,18-25,"$100,000 - $149,999",Some college,Single,Suburban,Townhouse,1,11-25 lbs,No,,90,,51,No,Yes,$100 - $199,1-2,4,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,No,Sedan,Yes,No,No,No,No,No,,4,4,5 = Most Influential,4,2,4,1,3,,,,,,,Yes,,,,$100
Female,41-56,"$50,000 -$99,999",2 year degree,Married or Domestic Partnership,Rural,Single family home,1,26-40 lbs,No,,49,,,No,Yes,< $100,6-7,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,No,I do not drive with my dogs,No,Yes,No,No,No,No,,1 = Least Influential,1 = Least Influential,1 = Least Influential,1 = Least Influential,1,4,3,2,,,,,No,,,,,,0
Male,25-40,"< $50,000",4 year degree,Married or Domestic Partnership,Suburban,Single family home,1,41-70 lbs,Yes,51,100,,,No,No,,1-2,4,2,1 = Never,2,3,1 = Never,3,No,Sedan,Yes,Yes,No,No,No,Yes,0,3,3,1 = Least Influential,1 = Least Influential,3,2,4,1,,,,,Yes,,,,,,150
Male,41-56,"< $50,000",Some college,Single,Rural,Single family home,1,26-40 lbs,No,,30,,,No,Yes,$50 - $99,3-5,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,No,I do not drive with my dogs,No,Yes,No,No,No,Yes,0,1 = Least Influential,1 = Least Influential,1 = Least Influential,1 = Least Influential,4,3,2,1,Yes,,,,,,,,,,0
Female,25-40,"< $50,000",4 year degree,Single,Urban,Apartment,1,26-40 lbs,No,,20,,,No,No,,6-7,5 = Always,1 = Never,1 = Never,5 = Always,3,1 = Never,2,No,SUV or Cross-over,Yes,No,No,No,No,No,,5 = Most Influential,4,5 = Most Influential,1 = Least Influential,2,4,3,1,,,,Yes,,,,,,,200
Male,25-40,"< $50,000",Trade profession,Married or Domestic Partnership,Rural,Single family home,2,11-25 lbs,Yes,,36,0,35,No,Yes,< $100,6-7,5 = Always,2,1 = Never,3,3,1 = Never,2,Yes,Compact,Yes,Yes,No,No,No,No,,3,3,5 = Most Influential,2,3,4,2,1,,,,,,Yes,,,,,200
Female,18-25,"< $50,000",Some college,Single,Urban,Single family home,2,71-90 lbs,No,,62,202,,No,No,,3-5,3,3,1 = Never,2,2,1 = Never,1 = Never,No,"Sports car,Sedan,Truck",Yes,Yes,No,No,No,Yes,12,3,3,4,2,2,4,3,1,,,No,,,,,,,,75
Female,18-25,"$50,000 -$99,999",High school graduate,Single,Rural,Single family home,2,71-90 lbs,No,0,51,0,0,No,No,,6-7,4,1 = Never,1 = Never,2,4,1 = Never,4,No,"SUV or Cross-over,Truck",No,No,No,No,No,Yes,10,4,4,5 = Most Influential,1 = Least Influential,2,4,3,1,,,,,Yes,,,,,,125
Female,41-56,"$50,000 -$99,999",2 year degree,Divorced or Separated,Rural,Single family home,3+,< 10 lbs,No,,51,,,No,Yes,< $100,1-2,1 = Never,1 = Never,1 = Never,3,2,4,2,No,SUV or Cross-over,No,No,No,No,No,No,,3,3,5 = Most Influential,4,1,4,2,3,,,,,,,,,No,,50
Female,25-40,"$50,000 -$99,999",Some college,Married or Domestic Partnership,Major City,Apartment,2,"< 10 lbs,41-70 lbs",No,,106,,,No,No,,1-2,5 = Always,1 = Never,1 = Never,2,1 = Never,1 = Never,2,No,I do not drive with my dogs,Yes,No,No,No,No,No,,3,3,4,4,2,4,3,1,,,,,No,,,,,,60
Female,25-40,"< $50,000",2 year degree,In a relationship,Urban,Apartment,1,11-25 lbs,No,,46,,21,No,No,,0,4,2,1 = Never,2,2,1 = Never,2,No,Convertible,No,No,No,No,No,Yes,20,4,2,4,3,1,4,3,2,Yes,,,,,,,,,,150
Female,18-25,"$50,000 -$99,999",Some college,In a relationship,Rural,Single family home,3+,26-40 lbs,No,,203,,52,No,Yes,$100 - $199,3-5,4,3,2,1 = Never,3,1 = Never,3,No,Truck,No,No,No,No,No,Yes,0,5 = Most Influential,5 = Most Influential,3,1 = Least Influential,3,4,2,1,,,,,,,Yes,,,,180
Non-binary / third gender,18-25,"< $50,000",High school graduate,Single,Rural,Single family home,1,71-90 lbs,No,0,28,0,0,Yes,No,,0,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,No,"SUV or Cross-over,Sedan",No,Yes,No,No,No,No,,1 = Least Influential,3,4,3,1,2,3,4,,,,,No,,,,,,$45
Female,25-40,"< $50,000",2 year degree,Single,Suburban,Single family home,1,26-40 lbs,Yes,58,121,0,0,Yes,Yes,< $100,1-2,2,1 = Never,1 = Never,2,1 = Never,1 = Never,1 = Never,No,SUV or Cross-over,Yes,No,No,No,No,No,,5 = Most Influential,4,5 = Most Influential,4,2,4,3,1,Yes,,,,,,,,,,100
Female,25-40,"$50,000 -$99,999",High school graduate,Married or Domestic Partnership,Suburban,Single family home,2,41-70 lbs,No,,181,,,No,No,,1-2,2,1 = Never,1 = Never,2,2,1 = Never,3,No,Sedan,No,Yes,No,No,No,No,,3,3,3,3,1,2,3,4,,,,,,No,,,,,0
Female,25-40,"$100,000 - $149,999",4 year degree,Married or Domestic Partnership,Suburban,Single family home,1,71-90 lbs,Yes,,62,41,45,No,Yes,$100 - $199,3-5,5 = Always,1 = Never,1 = Never,2,2,1 = Never,1 = Never,No,Mini-van or van,Yes,Yes,No,No,No,Yes,10,5 = Most Influential,3,5 = Most Influential,1 = Least Influential,2,4,3,1,,No,,,,,,,,,45
Female,41-56,"< $50,000",Some college,Single,Urban,Single family home,2,"91 - 120 lbs,> 120 lbs",No,,230,,200,No,Yes,$100 - $199,3-5,3,1 = Never,1 = Never,2,1 = Never,1 = Never,1 = Never,No,SUV or Cross-over,Yes,Yes,No,No,No,No,,2,5 = Most Influential,5 = Most Influential,3,3,1,4,2,,,,,,Yes,,,,,2000
Male,25-40,"$50,000 -$99,999",4 year degree,Single,Suburban,Single family home,1,91 - 120 lbs,No,,103,43,29,No,No,,3-5,5 = Always,3,1 = Never,5 = Always,3,2,4,No,SUV or Cross-over,No,No,No,No,No,No,,2,4,5 = Most Influential,4,2,4,3,1,,,,Yes,,,,,,,150
